"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";
"23/01/2024";"Sem informação";"Ministério da Educação";"Instituto Federal do Mato Grosso do Sul";"INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL";"Publicado";"Dispensa de Licitação";"Contrato";"00058/2023";
"23/01/2024";"27/12/2023";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Rodoviária Federal";"SUPERINTENDENCIA REG. POL. RODV. FEDERAL-GO";"Publicado";"Pregão";"Contrato";"00014/2023";
"23/01/2024";"19/10/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH HC-UFPE";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00098/2023";
"23/01/2024";"Sem informação";"Ministério da Educação";"Instituto Federal de Santa Catarina";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC";"Publicado";"Dispensa de Licitação";"Contrato";"51218/2023";
"23/01/2024";"07/12/2023";"Ministério da Defesa";"Comando do Exército";"13º REGIMENTO DE CAVALARIA MECANIZADO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00005/2023";
"23/01/2024";"24/10/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00179/2023";
"23/01/2024";"11/01/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00233/2023";
"23/01/2024";"23/01/2024";"Ministério da Educação";"Instituto Federal do Sul de Minas Gerais";"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG";"Publicado";"Pregão";"Contrato";"00021/2023";
"23/01/2024";"17/10/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO GETULIO VARGAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00036/2023";
"23/01/2024";"28/12/2023";"Ministério da Educação";"Instituto Federal da Paraíba";"IFPB - REITORIA";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00017/2023";
"23/01/2024";"01/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"CENTRO DE AQUISICOES ESPECIFICAS";"Evento de Adiamento Publicado";"Pregão";"Contrato";"00236/2023";
"23/01/2024";"17/01/2024";"Ministério do Trabalho";"Instituto Nacional do Seguro Social";"SUPERINTENDENCIA REGIONAL NORDESTE";"Publicado";"Pregão";"Contrato";"00056/2023";
"23/01/2024";"11/01/2024";"Ministério de Minas e Energia";"Indústrias Nucleares do Brasil";"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB";"Evento de Adiamento Publicado";"Pregão";"Sem informação";"01166/2023";
"23/01/2024";"17/01/2024";"Ministério da Educação";"Universidade Federal do Espírito Santo";"RESTAURANTE CENTRAL DA UFES";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00015/2023";
"23/01/2024";"04/01/2024";"Ministério de Minas e Energia";"Indústrias Nucleares do Brasil";"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB";"Publicado";"Pregão";"Sem informação";"01170/2023";
"23/01/2024";"15/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DO DISTRITO FED";"Publicado";"Pregão";"Sem informação";"00083/2023";
"23/01/2024";"22/12/2023";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"Conselho Nacional de Desenvolvimento Científico e Tecnológico";"CONSELHO NAC DE DESENV CIENT E TECNOLOGICO";"Publicado";"Pregão";"Contrato";"00010/2023";
"23/01/2024";"13/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO ONOFRE LOPES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00104/2023";
"23/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFSC";"Anulação";"Dispensa de Licitação";"Sem informação";"90019/2024";
"23/01/2024";"07/11/2023";"Ministério da Educação";"Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA";"Publicado";"Pregão";"Sem informação";"00054/2023";
"23/01/2024";"12/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DE CLINICAS DE UBERLANDIA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00136/2023";
"23/01/2024";"08/01/2024";"Ministério da Defesa";"Comando da Aeronáutica";"BASE AEREA DE PORTO VELHO";"Publicado";"Pregão";"Contrato";"00036/2023";
"23/01/2024";"10/01/2024";"Ministério da Infraestrutura";"Departamento Nacional de Infraestrutura de Transportes";"SUPERINTENDENCIA REG. NO ESTADO MS - DNIT";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00547/2023";
"23/01/2024";"22/01/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - XINGU";"Publicado";"Pregão";"Contrato";"00019/2023";
"23/01/2024";"13/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00117/2023";
"23/01/2024";"21/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO GAFFREE E GUINLE";"Publicado";"Pregão - Registro de Preço";"Sem informação";"01106/2023";
"23/01/2024";"12/01/2024";"Presidência da República";"Presidência da República";"AGENCIA BRASILEIRA DE INTELIGENCIA";"Publicado";"Pregão";"Sem informação";"00033/2023";
"23/01/2024";"02/01/2024";"Ministério de Minas e Energia";"Indústrias Nucleares do Brasil";"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB";"Publicado";"Pregão";"Sem informação";"01175/2023";
"23/01/2024";"11/01/2024";"Ministério de Minas e Energia";"Companhia de Pesquisa de Recursos Minerais";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00248/2023";
"23/01/2024";"15/12/2023";"Ministério de Minas e Energia";"Indústrias Nucleares do Brasil";"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB";"Publicado";"Pregão";"Sem informação";"01161/2023";
"23/01/2024";"05/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFS";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Contrato";"00075/2023";
"23/01/2024";"23/11/2023";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DE SAO PAULO";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00110/2023";
"23/01/2024";"19/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"ESCOLA DE ESPECIALISTAS DE AERONAUTICA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00105/2023";
"23/01/2024";"05/12/2023";"Ministério da Justiça e Segurança Pública";"Fundação Nacional do Índio";"FUNAI-SEDE BRASILIA/DF";"Publicado";"Pregão";"Contrato";"00001/2023";
"23/01/2024";"18/01/2024";"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"HOSPITAL UNIVERSITARIO DA UFRJ";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00128/2023";
"23/01/2024";"04/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSP UNIVERSITARIO CASSIANO ANTONIO DE MORAES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00200/2023";
"23/01/2024";"03/08/2023";"Ministério da Educação";"Universidade Federal Fluminense";"PRO-REITORIA DE ADMINISTRACAO/UFF";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00044/2023";
"23/01/2024";"13/12/2023";"Ministério da Defesa";"Comando do Exército";"COLEGIO MILITAR DE BELEM";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00012/2023";
"23/01/2024";"15/01/2024";"Ministério da Educação";"Universidade Federal de São Paulo";"UNIFESP-UNIVERSIDADE FEDERAL DE SAO PAULO";"Publicado";"Pregão";"Contrato";"00188/2023";
"23/01/2024";"27/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"CENTRO DE AQUISICOES ESPECIFICAS";"Publicado";"Pregão";"Contrato";"00235/2023";
"23/01/2024";"09/01/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSP UNIVERSITARIO CASSIANO ANTONIO DE MORAES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00213/2023";
"23/01/2024";"14/12/2023";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INTENDENCIA TECNOLOGICO DA MARINHA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00087/2023";
"23/01/2024";"10/01/2024";"Ministério da Educação";"Universidade Federal de Santa Maria";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00204/2023";
"23/01/2024";"18/12/2023";"Ministério da Educação";"Universidade Federal da Fronteira Sul";"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"Evento de Suspensão Publicado";"Pregão";"Contrato";"00047/2023";
"23/01/2024";"20/11/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00036/2023";
"23/01/2024";"24/10/2023";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00012/2023";
"23/01/2024";"15/01/2024";"Ministério da Defesa";"Comando do Exército";"COMISSAO REGIONAL DE OBRAS/2";"Publicado";"Pregão - Registro de Preço";"Contrato";"00007/2023";
"23/01/2024";"23/11/2023";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DE SAO PAULO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00121/2023";
"23/01/2024";"20/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFS";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00094/2023";
"23/01/2024";"07/11/2023";"Advocacia-Geral da União";"Advocacia-Geral da União - Unidades com vínculo direto";"DIRETORIA DE LOGISTICA E GESTAO DOCUMENTAL";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Contrato";"00008/2023";
"23/01/2024";"22/01/2024";"Ministério da Educação";"Fundação Universidade Federal do Pampa";"FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00057/2023";
"23/01/2024";"15/01/2024";"Ministério da Educação";"Instituto Federal da Paraíba";"IFPB - CAMPUS CAMPINA GRANDE";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00025/2023";
"23/01/2024";"21/12/2023";"Ministério da Educação";"Universidade Federal do Paraná";"UNIVERSIDADE FEDERAL DO PARANA";"Publicado";"Pregão";"Contrato";"00118/2023";
"23/01/2024";"21/11/2023";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00008/2023";
"23/01/2024";"Sem informação";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Rodoviária Federal";"SUPERINTENDENCIA REG. POL. RODV. FEDERAL-GO";"Publicado";"Concorrência";"Sem informação";"00002/2023";
"23/01/2024";"26/10/2023";"Ministério da Defesa";"Comando do Exército";"3 CENTRO DE TELEMATICA DE AREA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00006/2023";
"23/01/2024";"Sem informação";"Ministério da Educação";"Universidade Federal do Triângulo Mineiro";"UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"15109/2023";
"23/01/2024";"30/11/2023";"Ministério da Educação";"Universidade Federal da Paraíba";"CENTRO DE CIENC.HUMA. SOC. E AGRARIAS DA UFPB";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00012/2023";
"23/01/2024";"Sem informação";"Ministério da Economia";"Fundação Instituto Brasileiro de Geografia e Estatística";"UNIDADE ESTADUAL DO IBGE NO AMAZONAS";"Encerrado";"Dispensa de Licitação";"Contrato";"00016/2023";
"23/01/2024";"08/12/2023";"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00003/2023";
"23/01/2024";"22/11/2023";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INTENDENCIA TECNOLOGICO DA MARINHA";"Evento de Suspensão Publicado";"Pregão";"Contrato";"00077/2023";
"23/01/2024";"Sem informação";"Ministério da Defesa";"Comando do Exército";"23º BATALHAO LOGISTICO DE SELVA";"Evento de Resultado de Julgamento Publicado";"Tomada de Preços";"Sem informação";"00001/2023";
"23/01/2024";"29/08/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Evento de Suspensão Publicado";"Pregão";"Contrato";"00114/2023";
"23/01/2024";"23/01/2024";"Ministério da Educação";"Instituto Federal do Rio Grande do Norte";"INST.FED. DO RN/CAMPUS CAICO";"Publicado";"Pregão";"Sem informação";"00002/2023";
"23/01/2024";"07/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Evento de Suspensão Publicado";"Pregão";"Contrato";"00097/2023";
"24/01/2024";"16/01/2024";"Ministério da Educação";"Instituto Federal de Pernambuco";"IFPE - CAMPUS BELO JARDIM";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00014/2023";
"24/01/2024";"17/01/2024";"Ministério da Educação";"Instituto Federal do Sertão de Pernambuco";"INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00012/2023";
"24/01/2024";"16/01/2024";"Ministério da Educação";"Instituto Federal do Tocantins";"INST.FED.DE EDUC.,CIENC.E TEC.DO TOCANTINS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00036/2023";
"24/01/2024";"22/01/2024";"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00035/2023";
"24/01/2024";"29/12/2023";"Ministério da Defesa";"Comando da Marinha";"ESTACAO NAVAL DO RIO NEGRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00008/2023";
"24/01/2024";"24/01/2024";"Ministério da Saúde";"Fundação Oswaldo Cruz";"INSTITUTO OSWALDO CRUZ";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00035/2023";
"24/01/2024";"28/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00055/2023";
"24/01/2024";"29/05/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UNIV. FED. DO AMAPA";"Divulgado";"Pregão - Registro de Preço";"Contrato";"00036/2023";
"24/01/2024";"14/11/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSTIARIO ANTONIO PEDRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00109/2023";
"24/01/2024";"20/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFSC";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00248/2023";
"24/01/2024";"12/12/2023";"Ministério da Educação";"Instituto Federal do Norte de Minas Gerais";"INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00064/2023";
"24/01/2024";"26/12/2023";"Ministério da Educação";"Instituto Federal do Rio Grande do Norte";"INST.FED. DO RN/CAMPUS CURRAIS NOVOS";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Contrato";"00013/2023";
"24/01/2024";"01/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - MEDIO SOLIMOES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00010/2023";
"24/01/2024";"05/01/2024";"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Contrato";"00006/2023";
"24/01/2024";"19/12/2023";"Ministério da Educação";"Instituto Federal do Sul de Minas Gerais";"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00642/2023";
"24/01/2024";"16/10/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB)";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00087/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Publicado";"Dispensa de Licitação";"Contrato";"00061/2023";
"24/01/2024";"Sem informação";"Ministério do Meio Ambiente";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"IBAMA - SUPERINTENDENCIA DE SAO PAULO/SP";"Publicado";"Dispensa de Licitação";"Contrato";"90001/2024";
"24/01/2024";"16/11/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00059/2023";
"24/01/2024";"Sem informação";"Ministério da Defesa";"Indústria de Material Bélico do Brasil";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FMCE";"Encerrado";"Dispensa de Licitação";"Sem informação";"90003/2024";
"24/01/2024";"14/11/2023";"Ministério da Defesa";"Comando do Exército";"2 BATALHAO FERROVIARIO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00016/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFSC";"Encerrado";"Dispensa de Licitação";"Sem informação";"90024/2024";
"24/01/2024";"28/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00024/2023";
"24/01/2024";"Sem informação";"Ministério da Defesa";"Comando do Exército";"INSTITUTO MILITAR DE ENGENHARIA";"Encerrado";"Dispensa de Licitação";"Contrato";"90002/2024";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Publicado";"Dispensa de Licitação";"Sem informação";"00058/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"90001/2024";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Encerrado";"Dispensa de Licitação";"Contrato";"00062/2023";
"24/01/2024";"30/10/2023";"Ministério da Defesa";"Comando do Exército";"HOSPITAL GERAL DE FORTALEZA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00012/2023";
"24/01/2024";"Sem informação";"Ministério da Defesa";"Indústria de Material Bélico do Brasil";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FJF";"Encerrado";"Dispensa de Licitação";"Sem informação";"90003/2024";
"24/01/2024";"10/01/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - MANAUS";"Publicado";"Pregão";"Contrato";"00010/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DAS CLINICAS DA UFMG";"Encerrado";"Dispensa de Licitação";"Sem informação";"00315/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL ESCOLA DA UFPEL";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"90001/2024";
"24/01/2024";"10/01/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL ESCOLA DA UFPEL";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00078/2023";
"24/01/2024";"01/12/2023";"Ministério do Trabalho";"Instituto Nacional do Seguro Social";"SUPERINTENDENCIA REGIONAL SUDESTE I";"Publicado";"Pregão";"Sem informação";"00017/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSTIARIO ANTONIO PEDRO";"Encerrado";"Dispensa de Licitação";"Sem informação";"90012/2024";
"24/01/2024";"22/11/2023";"Ministério do Meio Ambiente";"Instituto Chico Mendes de Conservação da Biodiversidade";"INSTITUTO CHICO MENDES - SEDE";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00014/2023";
"24/01/2024";"22/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA MATO GROSSO SUL";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00028/2023";
"24/01/2024";"22/12/2023";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/CNPMF";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00009/2023";
"24/01/2024";"30/10/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSP UNIVERSITARIO CASSIANO ANTONIO DE MORAES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00183/2023";
"24/01/2024";"16/01/2024";"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"HOSPITAL UNIVERSITARIO DA UFRJ";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00139/2023";
"24/01/2024";"Sem informação";"Ministério da Defesa";"Comando do Exército";"COMISSAO REGIONAL DE OBRAS/3";"Evento de Resultado de Julgamento Publicado";"Tomada de Preços";"Contrato";"00036/2023";
"24/01/2024";"06/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - ALTO SOLIMOES";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00014/2023";
"24/01/2024";"22/03/2023";"Ministério da Defesa";"Comando da Marinha";"HOSPITAL NAVAL MARCILIO DIAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00014/2023";
"24/01/2024";"21/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00093/2023";
"24/01/2024";"22/01/2024";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"SUPERINTENDENCIA REG. ADM. DO ME - SAO PAULO";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00017/2023";
"24/01/2024";"04/01/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE SANTA MARIA";"Publicado";"Pregão";"Contrato";"00187/2023";
"24/01/2024";"23/01/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - VILHENA";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"90001/2024";
"24/01/2024";"11/12/2023";"Ministério de Minas e Energia";"Empresas de Energia";"ELETROBRAS TERMONUCLEAR S/A";"Evento de Adiamento Publicado";"Pregão";"Sem informação";"00209/2023";
"24/01/2024";"24/01/2024";"Ministério da Saúde";"Fundação Oswaldo Cruz";"INSTITUTO DE TECNOLOGIA EM IMUNOBIOLOGICOS";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00421/2023";
"24/01/2024";"14/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00295/2023";
"24/01/2024";"24/01/2024";"Ministério da Defesa";"Comando do Exército";"54 BATALHAO DE INFANTARIA DE SELVA";"Publicado";"Pregão";"Sem informação";"00018/2023";
"24/01/2024";"17/11/2023";"Ministério da Educação";"Universidade Federal de Goiás";"UNIVERSIDADE FEDERAL DE GOIAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00100/2023";
"24/01/2024";"28/11/2023";"Ministério da Infraestrutura";"Departamento Nacional de Infraestrutura de Transportes";"DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00527/2023";
"24/01/2024";"12/01/2024";"Ministério de Minas e Energia";"Empresas de Energia";"ELETROBRAS TERMONUCLEAR S/A";"Publicado";"Pregão";"Sem informação";"00281/2023";
"24/01/2024";"Sem informação";"Ministério da Educação";"Universidade Federal da Bahia";"UNIVERSIDADE FEDERAL DA BAHIA";"Evento de Anulação Publicado";"Dispensa de Licitação";"Sem informação";"90001/2024";
"24/01/2024";"19/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSTIARIO ANTONIO PEDRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00120/2023";
"24/01/2024";"04/12/2023";"Ministério da Agricultura, Pecuária e Abastecimento";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"LABORATORIO FEDERAL DE DEFESA AGROPECUARIA/MG";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00040/2023";
"24/01/2024";"16/01/2024";"MINISTERIO DA ECONOMIA";"BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL";"BANCO CENTRAL DO BRASIL - BELO HORIZONTE";"Publicado";"Pregão";"Sem informação";"00198/2023";
"24/01/2024";"08/01/2024";"Ministério de Minas e Energia";"Empresas de Energia";"ELETROBRAS TERMONUCLEAR S/A";"Evento de Alteração Publicado";"Pregão";"Sem informação";"00313/2023";
