"DATA ASSINATURA CONTRATO";"DATA PUBLICAÇÃO DOU";"DATA INÍCIO VIGÊNCIA";"DATA FIM VIGÊNCIA";"ORGÃO SUPERIOR CONTRATANTE";"ÓRGÃO / ENTIDADE VINCULADA CONTRATANTE";"UNIDADE GESTORA CONTRATANTE";"FORMA DE CONTRATAÇÃO";"GRUPO DE OBJETO DE CONTRATAÇÃO";"NÚMERO DO CONTRATO";"NOME DO FORNECEDOR";"CPF / CNPJ DO FORNECEDOR";"SITUAÇÃO";"VALOR CONTRATADO";
"17/01/2024";"16/02/2024";"17/01/2024";"07/03/2025";"Ministério da Defesa";"Comando do Exército";"ARSENAL DE GUERRA DO RIO";"Inexigibilidade de Licitação";"Serviços";"00013/2024";"ATELIER MARIO PITANGUY LTDA";"43.960.588/0001-38";"Não se aplica";"14.900,00";
"04/04/2024";"08/04/2024";"09/04/2024";"09/04/2026";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Pregão";"Outros";"00077/2024";"CIRURGICA SANTA HELENA LTDA";"43.496.995/0001-36";"Não se aplica";"14.920,00";
"15/02/2024";"19/02/2024";"15/02/2024";"13/06/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO EVANDRO CHAGAS";"Pregão";"Materiais";"00047/2024";"INTERJET COMERCIAL LTDA";"59.403.410/0001-26";"Não se aplica";"14.960,00";
"06/02/2024";"08/02/2024";"06/02/2024";"06/04/2024";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"Dispensa de Licitação";"Outros";"00001/2024";"MB ENGENHARIA E NEGOCIOS LTDA";"41.521.003/0001-58";"Não se aplica";"14.990,00";
"18/03/2024";"15/04/2024";"26/03/2024";"25/03/2025";"Ministério da Educação";"Instituto Federal de São Paulo";"IFSP - CAMPUS SAO CARLOS";"Pregão";"Outros";"01330/2024";"GENTE SEGURADORA SA";"90.180.605/0001-02";"Não se aplica";"15.000,00";
"27/03/2024";"01/04/2024";"27/03/2024";"27/03/2029";"Ministério da Defesa";"Comando do Exército";"59  BATALHAO DE INFANTARIA MOTORIZADO";"Dispensa de Licitação";"Outros";"00008/2024";"BRISANET SERVICOS DE TELECOMUNICACOES S.A.";"04.601.397/0001-28";"Não se aplica";"15.000,00";
"27/03/2024";"01/04/2024";"27/03/2024";"27/03/2029";"Ministério da Defesa";"Comando do Exército";"59  BATALHAO DE INFANTARIA MOTORIZADO";"Dispensa de Licitação";"Outros";"00006/2024";"BRISANET SERVICOS DE TELECOMUNICACOES S.A.";"04.601.397/0001-28";"Não se aplica";"15.000,00";
"04/03/2024";"05/03/2024";"04/03/2024";"31/08/2024";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Federal";"DELEGACIA DE POLICIA FEDERAL EM FOZ DO IGUACU";"Dispensa de Licitação";"Obras";"00004/2024";"CASSIA LEPRE LOPES";"27.245.537/0001-78";"Não se aplica";"15.000,00";
"26/03/2024";"27/03/2024";"01/04/2024";"01/04/2025";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"SUPERINTENDENCIA ESTADUAL DO MS/PI";"Pregão";"Outros";"00003/2024";"ICP ELEVADORES SERVICOS E COMERCIO LTDA";"23.146.506/0001-09";"Não se aplica";"15.000,00";
"20/03/2024";"22/03/2024";"20/03/2024";"19/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE BRASILIA";"Pregão";"Outros";"00006/2024";"SISTEC SISTEMAS DE PROTECAO E COMBATE A INCENDIO LTDA";"11.916.462/0001-70";"Não se aplica";"15.000,00";
"01/04/2024";"05/04/2024";"01/04/2024";"01/04/2025";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"MUSEU PARAENSE EMILIO GOELDI";"Pregão - Registro de Preço";"Outros";"00005/2024";"E. C. FERNANDES";"11.677.095/0001-07";"Não se aplica";"15.000,00";
"03/01/2024";"11/01/2024";"03/01/2024";"05/12/2024";"Ministério da Defesa";"Comando da Marinha";"COLEGIO NAVAL";"Sem Informação";"Outros";"00022/2023";"CENTRO DE SAUDE RENASCER LTDA";"10.994.966/0001-45";"Não se aplica";"15.000,00";
"29/01/2024";"01/02/2024";"29/01/2024";"28/01/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFS";"Inexigibilidade de Licitação";"Serviços";"00002/2024";"BRAIN ENGENHARIA LTDA";"10.715.445/0001-01";"Não se aplica";"15.000,00";
"08/04/2024";"10/04/2024";"26/04/2024";"25/10/2024";"Ministério da Educação";"Instituto Federal de São Paulo";"IFSP - CAMPUS AVARE";"Sem Informação";"Outros";"03582/2024";"33.761.444 RENATA RODRIGUES DOS SANTOS";"33.761.444/0001-07";"Não se aplica";"15.000,00";
"03/01/2024";"08/01/2024";"05/01/2024";"05/01/2025";"Advocacia-Geral da União";"Advocacia-Geral da União - Unidades com vínculo direto";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"Pregão";"Materiais";"00060/2023";"UGOLINI CAMPOS LTDA";"01.354.498/0001-53";"Não se aplica";"15.066,00";
"01/04/2024";"17/04/2024";"01/04/2024";"31/05/2029";"Ministério da Agricultura, Pecuária e Abastecimento";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/RJ";"Dispensa de Licitação";"Outros";"00005/2024";"LUIZ A D MARQUES - ILHA FIRE EXTINTORES UNIPESSOAL LTDA";"28.483.872/0001-77";"Não se aplica";"15.105,60";
"27/02/2024";"29/02/2024";"01/03/2024";"Sem informação";"Ministério da Infraestrutura";"Departamento Nacional de Infraestrutura de Transportes";"SUPERINTENDENCIA REG. NO ESTADO MS - DNIT";"Sem Informação";"Serviços";"00119/2024";"ELEKTRO REDES S.A.";"02.328.280/0001-97";"Não se aplica";"15.156,55";
"05/01/2024";"10/01/2024";"05/01/2024";"20/03/2024";"Ministério da Saúde";"Fundação Oswaldo Cruz";"INSTITUTO OSWALDO CRUZ";"Pregão";"Bens patrimoniais";"00072/2023";"PIRES & SANTOS COMERCIO LTDA";"52.087.237/0001-55";"Não se aplica";"15.180,00";
"28/02/2024";"01/03/2024";"28/02/2024";"28/02/2029";"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"UTFPR - CAMPUS PATO BRANCO";"Pregão - Registro de Preço";"Outros";"00002/2024";"INTERATIVA SOLUCOES EM INFORMATICA LTDA";"04.192.385/0001-97";"Não se aplica";"15.321,81";
"18/01/2024";"23/01/2024";"29/01/2024";"28/07/2026";"Ministério da Educação";"Fundação Universidade Federal de Pelotas";"FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS";"Pregão";"Outros";"00001/2024";"21.757.119 ANA CRISTINA FERNANDES DE ALMEIDA";"21.757.119/0001-83";"Não se aplica";"15.336,00";
"19/01/2024";"22/01/2024";"04/02/2024";"20/03/2024";"Ministério da Educação";"Ministério da Educação - Unidades com vínculo direto";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"Pregão";"Materiais";"00009/2024";"I.R. COMERCIO E MATERIAIS ELETRICOS LTDA";"33.149.502/0001-38";"Não se aplica";"15.359,40";
"05/04/2024";"10/04/2024";"11/04/2024";"09/07/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"Pregão - Registro de Preço";"Outros";"00132/2024";"UNIT - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LIMITADA";"66.969.262/0001-77";"Não se aplica";"15.360,00";
"29/01/2024";"19/03/2024";"29/01/2024";"29/01/2025";"Ministério das Relações Exteriores";"Ministério das Relações Exteriores - Unidades com vínculo direto";"ESCRIT.DE REP.DO MINIST.RELAC.EXTERIORES/SP";"Dispensa de Licitação";"Outros";"00001/2024";"IP SERVICOS E LOCACOES LTDA";"31.810.764/0001-76";"Não se aplica";"15.360,00";
"12/03/2024";"14/03/2024";"12/03/2024";"12/11/2025";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-RJ";"Dispensa de Licitação";"Outros";"00043/2024";"DOCUMENT SOLUTIONS COMERCIO E SERVICOS LTDA";"08.635.779/0001-23";"Não se aplica";"15.390,00";
"02/02/2024";"19/03/2024";"02/02/2024";"01/02/2025";"Ministério da Defesa";"Comando da Marinha";"CAPITANIA DOS PORTOS DO ESPIRITO SANTO";"Pregão - Registro de Preço";"Outros";"00028/2023";"CEREAL ES DISTRIBUIDORA LTDA";"50.686.301/0001-99";"Não se aplica";"15.403,20";
"17/01/2024";"29/01/2024";"25/01/2024";"25/01/2025";"Ministério da Educação";"Instituto Federal do Maranhão";"INST.FED.DO MARANHAO/CAMPUS BARRA DO CORDA";"Dispensa de Licitação";"Materiais";"00012/2024";"LEIDIMAR DA SILVA DOS SANTOS";"***.691.832-**";"Não se aplica";"15.439,00";
"23/01/2024";"29/01/2024";"01/02/2024";"31/01/2025";"Ministério da Educação";"Instituto Federal de São Paulo";"IFSP - CAMPUS REGISTRO";"Pregão";"Materiais";"01586/2024";"THHD COMERCIAL LTDA";"50.076.064/0001-44";"Não se aplica";"15.453,00";
"09/02/2024";"15/02/2024";"09/02/2024";"09/02/2025";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Rodoviária Federal";"SUPERINTENDENCIA REG. POL. RODV. FEDERAL-SP";"Pregão - Registro de Preço";"Serviços";"00019/2023";"HELENA MIRANDA MUNIZ SANEAMENTOS E SERVICOS TERCEIRIZADOS LTDA.";"21.489.154/0001-69";"Não se aplica";"15.458,61";
"09/02/2024";"15/02/2024";"09/02/2024";"Sem informação";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"DELEGACIA DA RFB EM VARGINHA";"Sem Informação";"Serviços";"00002/2024";"SERVICO AUTONOMO DE AGUA E ESGOTO";"21.417.423/0001-81";"Não se aplica";"15.460,00";
"19/01/2024";"21/02/2024";"19/01/2024";"Sem informação";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Federal";"SUPERINTENDENCIA REGIONAL NO ESTADO DE SP";"Inexigibilidade de Licitação";"Serviços";"33481/2024";"DEPARTAMENTO DE AGUA E ESGOTO DE MARILIA";"52.061.181/0001-60";"Não se aplica";"15.467,28";
"12/01/2024";"15/01/2024";"12/01/2024";"11/01/2025";"Ministério da Educação";"Instituto Federal da Bahia";"INST. FED. DA BAHIA/CAMPUS JEQUIE";"Dispensa de Licitação";"Materiais";"00006/2024";"ASSOCIACAO DOS PRODUTORES DO BRACO PEQUENO";"25.448.677/0001-18";"Não se aplica";"15.470,00";
"06/02/2024";"23/02/2024";"06/02/2024";"06/02/2025";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DE CANOAS";"Pregão";"Outros";"00170/2023";"AMC COMERCIO DE ALIMENTOS LTDA";"48.451.121/0001-86";"Não se aplica";"15.475,20";
"08/03/2024";"15/03/2024";"13/03/2024";"13/03/2025";"Ministério da Defesa";"Comando da Marinha";"LABORATORIO FARMACEUTICO DA MARINHA";"Pregão - Registro de Preço";"Outros";"00007/2024";"USINAR COMERCIO E INDUSTRIA DE MAQUINAS E USINAGEM LTDA";"11.178.790/0001-16";"Não se aplica";"15.480,00";
"22/03/2024";"12/04/2024";"22/03/2024";"21/03/2025";"Ministério da Defesa";"Comando do Exército";"COMANDO DE ARTILHARIA DO EXERCITO";"Sem Informação";"Outros";"00002/2024";"MARIA DE FÁTIMA BENÍCIO DE SOUZA";"***.132.061-**";"Não se aplica";"15.480,00";
"28/02/2024";"01/03/2024";"01/03/2024";"01/03/2025";"Ministério da Defesa";"Comando do Exército";"DEPOSITO DE SUBSISTENCIA SANTO ANGELO";"Pregão - Registro de Preço";"Outros";"00006/2024";"ECOS TURISMO LTDA";"06.157.430/0001-06";"Não se aplica";"15.483,50";
"19/03/2024";"21/03/2024";"21/03/2024";"21/03/2025";"Ministério da Agricultura, Pecuária e Abastecimento";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"LABORATORIO FEDERAL DE DEFESA AGROPECUARIA/SP";"Pregão - Registro de Preço";"Outros";"00033/2024";"STABIVET DIAGNOSTICOS COMERCIO IMPORTACAO E EXPORTACAO LTDA";"73.008.740/0001-48";"Não se aplica";"15.484,22";
"28/03/2024";"05/04/2024";"28/03/2024";"28/03/2025";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE OBTENCAO DA MARINHA NO R.J.";"Pregão";"Outros";"00035/2024";"PHF EMPREENDIMENTOS LTDA";"43.967.875/0001-70";"Não se aplica";"15.497,00";
"05/04/2024";"09/04/2024";"05/04/2024";"05/04/2025";"Ministério da Educação";"Instituto Federal do Amapá";"INST.FED.DO AMAPA - CAMPUS LARANJAL JARI.";"Pregão - Registro de Preço";"Outros";"00002/2024";"DULCELINA C. BARBOSA LTDA";"34.865.808/0002-34";"Não se aplica";"15.500,00";
"15/03/2024";"Sem informação";"15/03/2024";"15/03/2029";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"SUPERINTENDENCIA ESTADUAL DO MS/SC";"Sem Informação";"Outros";"90018/2023";"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/0028-23";"Não se aplica";"15.503,40";
"27/03/2024";"15/04/2024";"05/05/2024";"04/05/2025";"Ministério da Educação";"Instituto Federal de São Paulo";"INSTITUTO FEDERAL DE SAO PAULO";"Pregão";"Outros";"23154/2024";"MARIA ANGELA DE MORAES LTDA";"06.222.556/0001-09";"Não se aplica";"15.520,00";
"22/01/2024";"29/01/2024";"22/01/2024";"Sem informação";"Ministério do Trabalho";"Instituto Nacional do Seguro Social";"SUPERINTENDENCIA REGIONAL SUL";"Sem Informação";"Outros";"00118/2023";"COOPERATIVA ALIANCA";"83.647.990/0001-81";"Não se aplica";"15.563,52";
"10/01/2024";"22/01/2024";"10/01/2024";"10/01/2025";"Ministério da Educação";"Universidade Federal de Goiás";"UNIVERSIDADE FEDERAL DE GOIAS";"Sem Informação";"Materiais";"00696/2023";"APIJA PRODUTOS HOSPITALARES LABORATORIAIS ODONTOLOGICOS E ASSISTENCIA TECNICA LT";"02.346.952/0001-97";"Não se aplica";"15.586,26";
"02/02/2024";"19/03/2024";"02/02/2024";"01/02/2025";"Ministério da Defesa";"Comando da Marinha";"CAPITANIA DOS PORTOS DO ESPIRITO SANTO";"Pregão - Registro de Preço";"Outros";"00027/2023";"MALTA COMERCIO LTDA";"45.135.863/0001-04";"Não se aplica";"15.594,00";
"20/03/2024";"25/03/2024";"20/03/2024";"20/03/2025";"Ministério da Educação";"Fundação Universidade de Brasília";"FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"Dispensa de Licitação";"Outros";"00506/2024";"48.799.952 ANA CELIA FONSECA DA SILVA";"48.799.952/0001-43";"Não se aplica";"15.600,00";
"19/01/2024";"22/01/2024";"19/01/2024";"19/01/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSTIARIO ANTONIO PEDRO";"Inexigibilidade de Licitação";"Materiais";"00001/2024";"MOBIUS LIFE SCIENCE INDUSTRIA E COMERCIO DE PRODUTOS PARA LABORATORIOS LTDA";"04.645.160/0001-49";"Não se aplica";"15.600,00";
"11/01/2024";"30/01/2024";"18/01/2024";"18/01/2025";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"CENTRO BRASILEIRO DE PESQUISAS FISICAS";"Pregão";"Outros";"00001/2024";"RM PORTAL SERVICOS LTDA";"12.781.208/0001-74";"Não se aplica";"15.600,00";
"03/01/2024";"11/01/2024";"03/01/2024";"05/12/2024";"Ministério da Defesa";"Comando da Marinha";"COLEGIO NAVAL";"Sem Informação";"Outros";"00021/2023";"CENTRO DE SAÚDE RENASCER LTDA - FILIAL";"10.994.966/0005-79";"Não se aplica";"15.600,00";
"06/03/2024";"07/03/2024";"06/03/2024";"06/03/2025";"Ministério do Meio Ambiente";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"IBAMA - SUPERINTENDENCIA DO PIAUI/PI";"Sem Informação";"Outros";"00002/2024";"FORTED TELECOMUNICACOES LTDA";"06.699.342/0001-28";"Não se aplica";"15.600,00";
"20/03/2024";"20/03/2024";"20/03/2024";"31/12/2024";"Justiça do Trabalho";"Justiça do Trabalho - Unidades com vínculo direto";"TRIBUNAL SUPERIOR DO TRABALHO";"Sem Informação";"Outros";"00650/2024";"ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS ABNT";"33.402.892/0011-88";"Não se aplica";"15.600,00";
"17/01/2024";"19/01/2024";"17/01/2024";"17/05/2024";"Ministério da Educação";"Universidade Federal do Espírito Santo";"UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";"Inexigibilidade de Licitação";"Materiais, Serviços";"00049/2023";"BUSCH DO BRASIL LTDA";"03.176.066/0001-25";"Não se aplica";"15.610,49";
"29/01/2024";"01/02/2024";"29/01/2024";"28/01/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFS";"Pregão - Registro de Preço";"Outros";"00003/2024";"R.PEREIRA COMERCIAL LTDA";"32.856.932/0001-27";"Não se aplica";"15.652,03";
"07/03/2024";"28/03/2024";"07/03/2024";"31/12/2024";"Ministério da Defesa";"Comando do Exército";"9 REGIMENTO DE CAVALARIA BLINDADO";"Dispensa de Licitação";"Outros";"00002/2024";"TOME STRIEDER";"***.170.180-**";"Não se aplica";"15.653,00";
"26/02/2024";"07/03/2024";"26/02/2024";"26/02/2025";"Ministério da Educação";"Instituto Federal Catarinense";"INSTITUTO FEDERAL CATARINENSE - REITORIA";"Dispensa de Licitação";"Outros";"00039/2024";"AGROINDUSTRIA E VINICOLA VALIATI LTDA";"10.513.698/0001-00";"Não se aplica";"15.659,00";
"09/02/2024";"15/02/2024";"11/02/2024";"11/02/2025";"Ministério da Defesa";"Comando da Aeronáutica";"SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO";"Pregão";"Serviços";"00002/2024";"METROBRAS - METROLOGIA DAS RADIACOES IONIZANTES LTDA";"07.041.060/0001-00";"Não se aplica";"15.660,00";
"27/02/2024";"28/02/2024";"27/02/2024";"26/02/2025";"Ministério da Educação";"Instituto Federal de Rondônia";"INST. FED. DE EDUC.,CIENC. E TEC. DE RONDONIA";"Sem Informação";"Outros";"00003/2024";"FORALL ASSINATURAS E LIVROS LTDA";"87.140.307/0001-76";"Não se aplica";"15.672,00";
"17/01/2024";"29/01/2024";"17/01/2024";"16/01/2025";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Dispensa de Licitação";"Outros";"00005/2024";"AR MINEIRA CERTIFICACAO DIGITAL LTDA";"27.489.125/0001-83";"Não se aplica";"15.684,00";
"09/02/2024";"22/02/2024";"09/02/2024";"09/02/2025";"Ministério da Educação";"Instituto Federal do Rio Grande do Norte";"INST.FED. DO RN/CAMPUS CAICO";"Pregão - Registro de Preço";"Materiais";"00035/2024";"ALTO OESTE ALIMENTOS LTDA";"10.536.180/0001-84";"Não se aplica";"15.690,49";
"01/02/2024";"27/02/2024";"01/02/2024";"01/02/2025";"Ministério da Defesa";"Comando da Marinha";"HOSPITAL NAVAL DE NATAL";"Dispensa de Licitação";"Outros";"00005/2024";"PRO-RAD CONSULTORES EM RADIOPROTECAO S/S LTDA";"87.389.086/0001-74";"Não se aplica";"15.696,00";
"09/04/2024";"11/04/2024";"11/04/2024";"11/04/2025";"Ministério da Educação";"Instituto Federal do Ceará";"CAMPUS ACOPIARA/IFCE";"Pregão - Registro de Preço";"Outros";"00007/2024";"PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA";"05.340.639/0001-30";"Não se aplica";"15.714,20";
"19/03/2024";"21/03/2024";"19/03/2024";"19/03/2025";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Federal";"SUPERINTENDENCIA REGIONAL NO ESTADO DO AC";"Dispensa de Licitação";"Outros";"00001/2024";"JORJAO COMERCIO E REPRESENTACAO DE GASES LTDA";"06.539.992/0001-06";"Não se aplica";"15.760,00";
"17/01/2024";"29/01/2024";"25/01/2024";"25/01/2025";"Ministério da Educação";"Instituto Federal do Maranhão";"INST.FED.DO MARANHAO/CAMPUS BARRA DO CORDA";"Dispensa de Licitação";"Materiais";"00008/2024";"ERISLANDIA SILVA RAMOS";"***.313.443-**";"Não se aplica";"15.806,00";
"25/03/2024";"09/05/2024";"25/03/2024";"15/01/2025";"Ministério da Defesa";"Comando do Exército";"BASE ADMINISTRATIVA DA GUARNICAO DE JP";"Dispensa de Licitação";"Outros";"00013/2024";"COOPERATIVA MISTA DOS PRODUTORES RURAIS NA AGRICULTURA FAMILIAR DA PARAIBA";"24.637.299/0001-58";"Não se aplica";"15.806,50";
"26/01/2024";"30/01/2024";"26/01/2024";"26/01/2025";"Ministério da Educação";"Instituto Federal do Ceará";"CAMPUS TAUA/IFCE";"Dispensa de Licitação";"Materiais";"00003/2024";"COOPDEST COOPERATIVA DE AGRICULTORES PRODUTORES E EMPREENDEDORES DO ESTADO DO CE";"04.604.578/0001-08";"Não se aplica";"15.806,84";
"14/03/2024";"27/03/2024";"01/04/2024";"31/03/2025";"Ministério da Educação";"Instituto Federal do Triângulo Mineiro";"INST.FED.DE EDUC.,CIENC.E TEC.DO TRIA.MINEIRO";"Pregão - Registro de Preço";"Outros";"00004/2024";"PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA";"05.340.639/0001-30";"Não se aplica";"15.815,63";
"02/01/2024";"03/01/2024";"02/01/2024";"02/01/2025";"Ministério da Educação";"Instituto Federal da Paraíba";"IFPB - REITORIA";"Dispensa de Licitação";"Materiais";"00049/2023";"ACHEAKI COMERCIO E SERVICOS LTDA";"43.609.814/0001-30";"Não se aplica";"15.825,20";
"18/04/2024";"30/04/2024";"18/04/2024";"18/10/2026";"Ministério da Educação";"Instituto Federal do Paraná";"INST. FED. DO PARANA/ REITORIA";"Dispensa de Licitação";"Outros";"00002/2024";"BRASAGUA - TRATAMENTO DE AGUA E EFLUENTES DO BRASIL LTDA";"05.345.846/0001-87";"Não se aplica";"15.840,00";
"13/03/2024";"14/03/2024";"13/03/2024";"13/06/2024";"Ministério da Educação";"Universidade Federal do Espírito Santo";"UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";"Sem Informação";"Serviços";"00011/2024";"FUNDACAO ESPIRITO SANTENSE DE TECNOLOGIA - FEST";"02.980.103/0001-90";"Não se aplica";"15.849,71";
"19/03/2024";"10/04/2024";"19/03/2024";"18/03/2025";"Ministério da Defesa";"Comando do Exército";"17º BATALHAO LOGISTICO LEVE-MONTANHA";"Pregão - Registro de Preço";"Outros";"00014/2024";"MERCADO BELLINI LTDA";"21.556.410/0001-93";"Não se aplica";"15.903,44";
"18/03/2024";"19/03/2024";"18/03/2024";"18/03/2029";"Ministério do Meio Ambiente";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"IBAMA - SUPERINTENDENCIA DE MINAS GERAIS/MG";"Sem Informação";"Outros";"00001/2024";"SUPERINTENDENCIA DE LIMPEZA URBANA";"16.673.998/0001-25";"Não se aplica";"15.910,80";
"08/03/2024";"19/03/2024";"08/03/2024";"07/03/2025";"Ministério da Educação";"Instituto Federal do Rio Grande do Norte";"INST FED RN / CAMPUS CEARA-MIRIM";"Dispensa de Licitação";"Materiais";"00048/2024";"ASSOCIACAO COMUNITARIA DOS AGRICULTORES E FAMILIARES DE SITIO CAPIM DE BAIXO";"07.732.721/0001-35";"Não se aplica";"15.926,00";
"05/01/2024";"09/01/2024";"05/01/2024";"20/12/2024";"Ministério da Defesa";"Comando do Exército";"COMANDO 5ª REGIAO MILITAR";"Pregão - Registro de Preço";"Serviços";"00133/2023";"TECNO SOLUCOES EM LOGISTICA LTDA";"23.961.031/0001-04";"Não se aplica";"15.934,00";
"28/03/2024";"02/04/2024";"28/03/2024";"28/03/2029";"Ministério da Justiça e Segurança Pública";"Fundação Nacional do Índio";"COORD. REG. RIBEIRAO CASCALHEIRA/MT";"Sem Informação";"Outros";"00056/2024";"ALDIR BISSOLOTTI LTDA";"06.956.740/0001-82";"Não se aplica";"15.945,00";
"31/01/2024";"19/04/2024";"31/01/2024";"31/01/2025";"Ministério da Defesa";"Comando do Exército";"25 BATALHAO LOGISTICO (ES)";"Pregão - Registro de Preço";"Outros";"00002/2024";"DELURB AMBIENTAL LTDA";"24.219.106/0001-49";"Não se aplica";"15.960,00";
"22/02/2024";"26/02/2024";"26/02/2024";"26/08/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DAS CLINICAS DA UFMG";"Dispensa de Licitação";"Outros";"00079/2024";"CCL DISTRIBUIDORA LTDA";"05.786.956/0001-84";"Não se aplica";"15.960,50";
"02/02/2024";"05/02/2024";"02/02/2024";"02/02/2029";"Ministério da Justiça e Segurança Pública";"Fundação Nacional do Índio";"FUNAI-COORDENACAO REGIONAL DE JOAO PESSOA/PB";"Dispensa de Licitação";"Serviços";"00017/2024";"R&F DEDETIZACAO AMBIENTAL LTDA";"17.685.659/0001-21";"Não se aplica";"15.970,00";
"11/03/2024";"22/03/2024";"11/03/2024";"10/03/2025";"Ministério da Defesa";"Comando do Exército";"55 BATALHAO DE INFANTARIA";"Pregão - Registro de Preço";"Outros";"00014/2024";"WANA HORTFRUTTI LTDA";"34.725.016/0001-83";"Não se aplica";"15.976,90";
"17/01/2024";"18/01/2024";"17/01/2024";"17/01/2025";"Ministério da Educação";"Universidade Federal Rural da Amazônia";"UNIVERSIDADE FEDERAL RURAL DA AMAZONIA";"Dispensa de Licitação";"Outros";"00002/2024";"FACHINELI COMUNICACAO LTDA";"08.804.362/0001-47";"Não se aplica";"15.980,00";
"18/04/2024";"19/04/2024";"01/05/2024";"30/04/2025";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"SUPERINTENDENCIA REGIONAL DA RFB NA 3A RF";"Dispensa de Licitação";"Outros";"00007/2024";"MAIS ESTAGIOS LTDA";"28.306.309/0001-23";"Não se aplica";"15.996,00";
"10/04/2024";"12/04/2024";"10/04/2024";"10/04/2025";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão - Registro de Preço";"Outros";"00061/2024";"CIENLABOR INDUSTRIA E COMERCIO LTDA";"02.814.280/0002-88";"Não se aplica";"16.000,00";
"21/02/2024";"23/02/2024";"21/02/2024";"21/02/2025";"Ministério da Educação";"Instituto Federal do Rio Grande do Norte";"CPST FED RN / CAMPUS CANGUARETAMA";"Dispensa de Licitação";"Outros";"00038/2024";"COOPERATIVA AGROPECUARIA DOS ASSENTAMENTOS QUILOMBO DOS PALMARES II E ELDORADO D";"30.903.464/0001-79";"Não se aplica";"16.022,13";
"25/03/2024";"27/03/2024";"25/03/2024";"31/07/2024";"Ministério da Defesa";"Comando do Exército";"9ª BATERIA DE ARTILHARIA ANTIAEREA";"Pregão - Registro de Preço";"Outros";"00004/2024";"J.R.A COMERCIO DE GAS LTDA";"13.020.907/0001-64";"Não se aplica";"16.044,00";
